Activity ID,Activity Date,Activity Name,IS_TRACK_WORKOUT,HAS_ACCURATE_LAPS,TRACK,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,New_Filename
440532314,"Nov 28, 2015, 2:14:09 AM",Quick Jog,,,,Run,Slow jog in the rain until I found that the path was blocked by some trees...,514,1.91,,activities/491133273.tcx.gz,,,,,,,activities/491133273.tcx
441175376,"Nov 28, 2015, 9:06:08 PM",Routeburn,,,,Run,"First time doing the routeburn, and first time running the routeburn too!",17248,31.15,,activities/491801576.tcx.gz,17248,15343,31149.599609375,4.30000019073486,,1776.99499511719,activities/491801576.tcx
442309961,"Dec 1, 2015, 2:45:06 AM",Intervally thing,,,,Run,"First lap at 5:00/km pace-ish, 2nd and 3rd at 4:30, and the 4th at 4:00.",2002,7.22,,activities/492969424.tcx.gz,2002,2002,7226.10009765625,6.59999990463257,,116.855911254883,activities/492969424.tcx
445839488,"Dec 3, 2015, 2:43:58 AM",Hill Reps around Fryer Street,,,,Run,4 hill reps near Fryer Street.,857,2.88,,activities/496584083.tcx.gz,857,857,2887.30004882812,5.40000009536743,,64.0701675415039,activities/496584083.tcx
445839590,"Dec 4, 2015, 9:06:00 PM",Run up the Skyline,,,,Run,From the house up the Skyline for a Ledge Swing :),1950,3.77,,activities/496584181.tcx.gz,1950,1845,3773.30004882812,5.59999990463257,,454.332733154297,activities/496584181.tcx
445839722,"Dec 7, 2015, 2:46:37 AM",Hill Reps,,,,Run,"Started at WHS, then did 5 reps up Hensman Road before heading back to WHS.",3838,8.88,,activities/496584312.tcx.gz,3838,3075,8885.2001953125,8.60000038146973,,232.173110961914,activities/496584312.tcx
447957418,"Dec 10, 2015, 9:11:00 PM",Easy Jog,,,,Run,Easy Jog around the Matakauri Track.,630,2.22,,activities/498742898.tcx.gz,630,613,2222.69995117187,4.5,,30.6191673278809,activities/498742898.tcx
447957572,"Dec 9, 2015, 8:09:33 AM",Easy Jog,,,,Run,Easy Jog around the Matakauri Track.,829,2.3,,activities/498743060.tcx.gz,829,696,2303.60009765625,4.69999980926514,,28.403657913208,activities/498743060.tcx
447957707,"Dec 10, 2015, 8:10:19 AM",Intervals-with-a-dog,,,,Run,Two laps around the Matakauri Track doing intervals while dog-sitting for someone...,1184,3.96,,activities/498743189.tcx.gz,1184,1088,3967.89990234375,6.5,,49.9535865783691,activities/498743189.tcx
448551385,"Dec 12, 2015, 3:06:28 AM",Time trial around the Matakauri Track,,,,Run,"Time trial around the Matakauri Track - However I stopped to speak to some friends, so it doesn't really count!",474,1.73,,activities/499353818.tcx.gz,474,368,1738.90002441406,7.90000009536743,,31.2167739868164,activities/499353818.tcx
