Comment Date,Comment
"Jul 30, 2016, 6:55:30 AM",Ikr! Maybe I should do it more often...
"Jul 31, 2016, 7:08:47 AM",Or maybe I shouldn't... I'll have to decide
"Mar 19, 2017, 9:12:41 PM","Eh, I blame Benny... And it was downhill"
"Mar 17, 2018, 5:00:17 AM","[strava://athletes/3982060/14]Aleks Cheifetz Eh, close enough"
"Mar 31, 2018, 1:42:12 AM","It's up the Tiki trail, but they're pretty much the same thing. And thanks, but I wasn't going very fast haha"
"Mar 31, 2018, 6:54:51 PM","Yeah I'm pretty sure my watch messed up... If you look at the map it looks like I went in the Lake, but I returned home the same way I went up."
"Apr 3, 2018, 5:38:14 AM",Quite possibly!
"Apr 3, 2018, 5:43:28 AM","Ah nice. I only went to the saddle, good effort going to the top!"
"Apr 4, 2018, 9:02:12 PM","Eh, I think most people just cruise around Lake Hayes at an easy pace..."
"Apr 19, 2018, 4:24:56 AM","Bad GPS data, has CR 5 mins faster than national champ but almost runs"
"May 12, 2018, 6:27:55 AM","Haha yep, was just updating it as I can't define the activity type on my watch"
"Oct 14, 2018, 6:42:25 AM","Eh, it'd be a good place to run in the summer."
"Dec 16, 2018, 7:12:25 AM","Yes, I cut down a pine then carried it down"
"Dec 18, 2018, 5:55:51 AM",triggered by effort 50995203806 on segment 6262029
"Dec 18, 2018, 5:46:46 PM",I think it was around 41 haha
"Dec 31, 2018, 1:19:07 AM",Waaay too fast
"Dec 31, 2018, 1:19:25 AM",Waaaay too fast
"Dec 31, 2018, 1:19:49 AM",Waaay too fast
"Jan 6, 2019, 6:43:21 AM","Not even 20km, tut tut..."
"Jan 6, 2019, 7:52:17 AM",Touchè
"Jan 9, 2019, 2:47:37 AM","Nah, I probably would have been too slow"
"Jan 20, 2019, 4:28:08 AM",Something like that
"Feb 3, 2019, 7:15:46 AM","GPS inaccuracy, the actual elevation gain was exactly 2000m"
"Mar 3, 2019, 12:13:44 AM",Bike ride
"Apr 1, 2019, 3:46:43 AM",triggered by effort 56999519436 on segment 4554524
"Apr 8, 2019, 12:12:59 AM",!!!!
"Apr 28, 2019, 8:13:18 AM","""Slowed down by Hamish"""
"Jul 17, 2019, 5:06:09 AM","Man, the map looks pretty complicated around the Events Centre, what happened there???"
"Jul 28, 2019, 7:46:13 PM","[strava://athletes/3569575/14]James Harcombe Yes, the track seemed pretty open to me. And it was an easy jog, I walked sections of the CR due to snow and mud"
"Sep 14, 2019, 10:55:16 AM",Thanks!
"Sep 23, 2019, 7:18:57 PM",Sadly I think they're due to GPS inaccuracies... Imagine drawing things in your GPS data [strava://athletes/3982060/14]Aleks Cheifetz ...
"Oct 1, 2019, 11:17:24 PM",Yeah I bet you wish you could do that eh? Oh wait...
"Oct 11, 2019, 8:49:18 AM",Hehe
"Oct 20, 2019, 12:37:02 AM","Yep, I ran out of time on Friday so postponed it to Saturday..."
"Nov 24, 2019, 5:40:34 AM","Haha, I didn’t record the race as it was only a 800m..."
