Follower Athlete ID,Follow Status,Created At
3569575,Accepted,"Nov 27, 2015, 3:50:37 AM"
4836325,Accepted,"Dec 8, 2015, 6:34:47 AM"
6788288,Accepted,"Feb 4, 2016, 2:46:22 AM"
6510921,Accepted,"Feb 11, 2016, 8:29:57 AM"
991685,Accepted,"Feb 15, 2016, 10:00:15 AM"
13474769,Accepted,"Feb 16, 2016, 9:01:40 PM"
13726822,Accepted,"Mar 3, 2016, 8:35:21 AM"
9105607,Accepted,"Apr 15, 2016, 4:37:25 PM"
3982060,Accepted,"Apr 23, 2016, 11:12:23 AM"
2104910,Accepted,"Sep 3, 2016, 8:19:35 PM"
13373369,Accepted,"Oct 2, 2016, 2:05:17 AM"
1991036,Accepted,"Oct 8, 2016, 10:11:32 PM"
12386037,Accepted,"Jun 26, 2017, 4:38:08 AM"
24969451,Accepted,"Sep 13, 2017, 8:14:39 AM"
26258571,Accepted,"Nov 15, 2017, 9:22:41 PM"
8863248,Accepted,"Nov 26, 2017, 5:01:36 AM"
26756173,Accepted,"Dec 20, 2017, 6:51:26 AM"
12266761,Accepted,"Feb 11, 2018, 5:24:45 AM"
23273637,Accepted,"May 12, 2018, 5:11:44 AM"
30309377,Accepted,"May 23, 2018, 9:23:16 AM"
31713716,Accepted,"Jun 12, 2018, 8:45:57 PM"
9171642,Accepted,"Aug 23, 2018, 10:37:59 AM"
34309529,Accepted,"Sep 19, 2018, 5:07:12 AM"
36385001,Accepted,"Nov 10, 2018, 1:53:07 AM"
37338386,Accepted,"Dec 24, 2018, 8:32:13 AM"
15695040,Accepted,"Dec 31, 2018, 1:37:22 AM"
12348055,Accepted,"Jan 3, 2019, 7:51:30 PM"
8692973,Accepted,"Feb 25, 2019, 8:12:39 AM"
26562264,Accepted,"May 18, 2019, 7:06:09 AM"
45568634,Accepted,"Aug 20, 2019, 1:34:11 AM"
2533997,Accepted,"Sep 15, 2019, 5:47:12 AM"
16887609,Accepted,"Oct 5, 2019, 8:20:49 PM"
10712410,Accepted,"Oct 11, 2019, 11:22:58 PM"
35467278,Accepted,"Oct 22, 2019, 8:02:28 PM"
15912223,Accepted,"Oct 24, 2019, 5:18:35 AM"
20441777,Accepted,"Oct 31, 2019, 7:35:09 AM"
40910367,Accepted,"Nov 5, 2019, 5:06:52 AM"
12444883,Accepted,"Nov 9, 2019, 4:49:57 AM"
5790134,Accepted,"Dec 31, 2019, 6:52:44 PM"
19789531,Accepted,"Feb 2, 2020, 7:04:47 AM"
6390121,Accepted,"Feb 8, 2020, 6:21:22 AM"
41927396,Accepted,"Feb 9, 2020, 10:56:43 PM"
41369505,Accepted,"Feb 23, 2020, 6:59:23 PM"
53162909,Accepted,"Apr 1, 2020, 4:43:09 AM"
52923752,Accepted,"Apr 7, 2020, 8:28:37 AM"
11641409,Accepted,"Apr 15, 2020, 12:49:10 AM"
43001097,Accepted,"Apr 16, 2020, 10:05:10 AM"
55268214,Accepted,"Apr 26, 2020, 3:24:59 AM"
8528543,Accepted,"May 5, 2020, 7:58:31 AM"
53673339,Accepted,"May 12, 2020, 8:10:51 AM"
37434209,Accepted,"May 13, 2020, 10:12:42 AM"
52928969,Accepted,"May 18, 2020, 3:14:19 AM"
42198920,Accepted,"May 27, 2020, 6:52:00 AM"
3186993,Accepted,"May 31, 2020, 7:48:41 AM"
30722258,Accepted,"Jun 8, 2020, 4:51:12 AM"
59692991,Accepted,"Jun 9, 2020, 3:39:36 AM"
19769656,Accepted,"Jun 12, 2020, 4:31:57 AM"
17678677,Accepted,"Jun 13, 2020, 8:17:48 AM"
22398653,Accepted,"Jul 5, 2020, 7:43:55 AM"
1962504,Accepted,"Jul 5, 2020, 9:35:14 PM"
51932440,Accepted,"Jul 8, 2020, 10:52:18 PM"
3615263,Accepted,"Jul 12, 2020, 7:03:03 AM"
16999293,Accepted,"Jul 12, 2020, 8:44:23 AM"
31956976,Accepted,"Jul 27, 2020, 8:29:47 AM"
48610952,Accepted,"Jul 27, 2020, 7:23:29 PM"
66897239,Accepted,"Aug 24, 2020, 12:21:46 PM"
15602193,Accepted,"Aug 31, 2020, 6:40:02 AM"
995815,Accepted,"Oct 16, 2020, 7:17:16 AM"
68788319,Accepted,"Nov 24, 2020, 12:00:31 AM"
36723625,Accepted,"Nov 27, 2020, 8:19:19 PM"
7425211,Accepted,"Dec 17, 2020, 7:14:59 AM"
18725466,Accepted,"Dec 23, 2020, 8:30:17 PM"
18203128,Accepted,"Dec 27, 2020, 9:22:26 AM"
8309690,Accepted,"Mar 4, 2021, 6:58:09 PM"
3352545,Accepted,"Mar 4, 2021, 8:49:04 PM"
27724797,Accepted,"Mar 4, 2021, 10:38:07 PM"
19010582,Accepted,"Mar 25, 2021, 6:32:55 PM"
76840275,Accepted,"Apr 17, 2021, 3:55:15 AM"
17023297,Accepted,"Apr 20, 2021, 3:53:13 AM"
84039344,Accepted,"Apr 24, 2021, 8:24:19 PM"
56329991,Accepted,"May 30, 2021, 6:27:09 AM"
20234680,Accepted,"Aug 20, 2021, 6:58:54 PM"
31416615,Accepted,"Oct 6, 2021, 3:21:48 AM"
32899184,Accepted,"Oct 8, 2021, 1:34:47 AM"
47012667,Accepted,"Oct 18, 2021, 9:19:03 AM"
18204238,Accepted,"Oct 24, 2021, 9:51:05 PM"
28167994,Accepted,"Nov 3, 2021, 9:02:42 PM"
93962705,Accepted,"Nov 12, 2021, 12:56:22 AM"
