Following Athlete ID,Follow Status,Created At
4011134,Accepted,"Nov 26, 2015, 5:06:57 AM"
3569575,Accepted,"Nov 27, 2015, 3:03:44 AM"
12616462,Accepted,"Feb 5, 2016, 8:16:23 AM"
9105607,Accepted,"Feb 5, 2016, 8:18:10 AM"
6788288,Accepted,"Feb 9, 2016, 7:27:56 AM"
6510921,Accepted,"Feb 11, 2016, 5:19:38 PM"
13474769,Accepted,"Feb 18, 2016, 5:33:59 AM"
991685,Accepted,"Feb 18, 2016, 5:34:02 AM"
12253163,Accepted,"Apr 15, 2016, 7:26:48 PM"
13726822,Accepted,"Apr 15, 2016, 7:26:49 PM"
4836325,Accepted,"Apr 15, 2016, 7:27:04 PM"
3982060,Accepted,"May 7, 2016, 6:17:20 AM"
2104910,Accepted,"Jul 26, 2016, 5:04:03 AM"
7852100,Accepted,"Oct 8, 2016, 3:59:35 AM"
16999293,Accepted,"Apr 14, 2017, 4:43:55 AM"
13373369,Accepted,"Apr 20, 2017, 1:13:15 AM"
1991036,Accepted,"Apr 20, 2017, 1:13:21 AM"
12386037,Accepted,"May 21, 2017, 5:05:11 AM"
26258571,Accepted,"Nov 24, 2017, 6:52:36 AM"
26756173,Accepted,"Dec 22, 2017, 4:19:45 AM"
12266761,Accepted,"Feb 11, 2018, 3:51:18 AM"
8863248,Accepted,"Feb 18, 2018, 12:11:12 AM"
23273637,Accepted,"May 12, 2018, 6:27:14 AM"
30309377,Accepted,"May 23, 2018, 6:32:42 PM"
31713716,Accepted,"Jun 11, 2018, 2:29:01 AM"
9171642,Accepted,"Aug 23, 2018, 6:45:10 PM"
34309529,Accepted,"Sep 19, 2018, 5:29:24 AM"
36385001,Accepted,"Nov 10, 2018, 6:22:53 PM"
37338386,Accepted,"Dec 24, 2018, 5:21:29 PM"
17678677,Accepted,"Dec 31, 2018, 1:10:40 AM"
15695040,Accepted,"Dec 31, 2018, 1:15:32 AM"
8692973,Accepted,"Feb 25, 2019, 6:07:20 PM"
26562264,Accepted,"May 18, 2019, 7:08:00 AM"
45568634,Accepted,"Aug 21, 2019, 2:29:33 AM"
2533997,Accepted,"Sep 15, 2019, 7:42:45 AM"
41477788,Accepted,"Oct 11, 2019, 5:44:23 AM"
16887609,Accepted,"Oct 11, 2019, 8:51:03 AM"
10712410,Accepted,"Oct 12, 2019, 4:27:20 AM"
35467278,Accepted,"Oct 22, 2019, 8:03:29 PM"
15912223,Accepted,"Oct 24, 2019, 5:13:21 AM"
