Join Date,Name,Completed
"Jan 19, 2016, 5:01:01 AM",Strava Races: 10k,true
"Jan 19, 2016, 5:01:02 AM",Strava Races: Half Marathon,false
"Jan 19, 2016, 5:01:03 AM",January Run Climbing Challenge,true
"Apr 4, 2017, 7:40:41 AM",April Half Marathon,true
"Apr 4, 2017, 7:40:49 AM",April Run Climbing Challenge,true
"Apr 4, 2017, 7:40:51 AM",April Running Distance Challenge,true
"Apr 4, 2017, 7:41:02 AM",Runner's World Boston Challenge,true
"May 4, 2017, 5:43:53 AM",May 10K,true
"May 4, 2017, 5:43:55 AM",May Half Marathon,false
"May 4, 2017, 5:44:07 AM",Mt. Everest Running Climbing Challenge,false
"May 4, 2017, 5:44:08 AM",May Running Distance Challenge,false
"Jan 7, 2019, 1:48:43 AM",January Run Climbing Challenge,true
