Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 1, 2015, 7:37:13 AM",Kudos,Activity,442339505
"Dec 1, 2015, 7:38:03 AM",Kudos,Activity,440491684
"Dec 1, 2015, 7:38:07 AM",Kudos,Activity,440064013
"Dec 1, 2015, 7:38:44 AM",Kudos,Activity,438995187
"Dec 7, 2015, 5:39:46 PM",Kudos,Activity,445026357
"Dec 7, 2015, 5:39:49 PM",Kudos,Activity,444416204
"Dec 27, 2015, 5:46:09 AM",Kudos,Activity,456893813
"Jan 31, 2016, 6:24:34 AM",Kudos,Activity,482309464
"Feb 18, 2016, 5:56:03 PM",Kudos,Activity,495362946
"Feb 18, 2016, 5:56:15 PM",Kudos,Activity,495322508
"Feb 28, 2016, 5:16:41 AM",Kudos,Activity,504067535
"Apr 3, 2016, 8:57:51 AM",Kudos,Activity,534009174
"Apr 3, 2016, 8:58:02 AM",Kudos,Activity,533006702
"Jun 10, 2016, 5:09:53 AM",Kudos,Activity,603508624
"Jun 23, 2016, 4:43:11 AM",Kudos,Activity,617019390
"Jul 31, 2016, 7:08:15 AM",Kudos,Activity,659223815
"Sep 6, 2016, 3:34:48 AM",Kudos,Activity,701902761
"Oct 30, 2016, 5:25:07 AM",Kudos,Activity,759984041
"Feb 16, 2017, 7:13:42 AM",Kudos,Activity,868068612
"Apr 14, 2017, 9:50:50 PM",Kudos,Activity,941250973
"May 4, 2017, 5:43:29 AM",Kudos,Feed Entry,71534518
"May 12, 2017, 10:02:38 PM",Kudos,Activity,983214826
"Feb 18, 2018, 1:39:45 AM",Kudos,Activity,1412886494
"Mar 17, 2018, 1:05:43 AM",Kudos,Activity,1455507144
"Mar 19, 2018, 5:29:22 PM",Kudos,Activity,1460509805
"Mar 30, 2018, 8:22:21 AM",Kudos,Activity,1479089274
"Mar 31, 2018, 12:37:34 AM",Kudos,Activity,1480595565
"Apr 1, 2018, 5:24:44 AM",Kudos,Activity,1482661086
"Jun 4, 2018, 1:26:59 AM",Kudos,Activity,1613429284
"Jun 15, 2018, 8:05:56 AM",Kudos,Activity,1639170873
"Jul 11, 2018, 7:26:54 PM",Kudos,Activity,1694753276
"Jul 11, 2018, 7:27:01 PM",Kudos,Activity,1694938830
"Jul 11, 2018, 7:27:45 PM",Kudos,Activity,1690479854
"Jul 11, 2018, 7:27:50 PM",Kudos,Activity,1692533699
"Jul 24, 2018, 7:04:15 AM",Kudos,Activity,1722042168
"Jul 27, 2018, 8:08:08 PM",Kudos,Activity,1728503999
"Aug 7, 2018, 8:47:36 AM",Kudos,Activity,1755404205
"Sep 23, 2018, 5:48:13 AM",Kudos,Activity,1859557315
"Sep 23, 2018, 5:48:14 AM",Kudos,Activity,1859481346
"Sep 23, 2018, 5:48:15 AM",Kudos,Activity,1859397802
"Oct 14, 2018, 6:42:55 AM",Kudos,Activity,1902927991
"Oct 14, 2018, 6:42:56 AM",Kudos,Activity,1903203549
"Oct 21, 2018, 10:30:07 PM",Kudos,Activity,1917573709
"Oct 21, 2018, 10:30:07 PM",Kudos,Activity,1919702202
"Dec 4, 2018, 5:22:09 AM",Kudos,Activity,1999078797
"Dec 9, 2018, 8:30:49 PM",Kudos,Activity,2007316254
"Dec 9, 2018, 8:30:50 PM",Kudos,Activity,2007413674
"Dec 9, 2018, 8:32:06 PM",Kudos,Activity,2004233583
"Dec 11, 2018, 8:58:58 AM",Kudos,Activity,2011116298
"Dec 11, 2018, 8:58:58 AM",Kudos,Activity,2011078400
"Dec 12, 2018, 12:51:30 AM",Kudos,Activity,2011162685
"Dec 16, 2018, 1:33:55 AM",Kudos,Activity,2017537247
"Dec 16, 2018, 1:33:56 AM",Kudos,Activity,2017553459
"Dec 19, 2018, 12:22:00 AM",Kudos,Activity,2024093669
"Dec 24, 2018, 5:18:32 PM",Kudos,Activity,2030803775
"Dec 30, 2018, 6:23:11 AM",Kudos,Activity,2043252995
"Dec 31, 2018, 8:43:38 PM",Kudos,Activity,2046758844
"Dec 31, 2018, 8:43:40 PM",Kudos,Activity,2045999606
"Dec 31, 2018, 8:44:07 PM",Kudos,Activity,2045438120
"Jan 6, 2019, 7:25:30 AM",Kudos,Activity,2058713731
"Jan 7, 2019, 1:48:24 AM",Kudos,Activity,2058848631
"Jan 7, 2019, 1:49:19 AM",Kudos,Activity,2061168651
"Jan 7, 2019, 1:49:21 AM",Kudos,Activity,2060799602
"Jan 13, 2019, 6:16:57 AM",Kudos,Activity,2074740489
"Jan 15, 2019, 5:21:58 PM",Kudos,Activity,2079654837
"Jan 15, 2019, 5:22:00 PM",Kudos,Activity,2079638561
"Jan 16, 2019, 5:24:59 PM",Kudos,Activity,2081918981
"Jan 20, 2019, 7:28:01 AM",Kudos,Activity,2090605647
"Jan 23, 2019, 1:14:18 AM",Kudos,Activity,2095236040
"Jan 23, 2019, 1:14:18 AM",Kudos,Activity,2095192161
"Feb 3, 2019, 7:57:11 AM",Kudos,Activity,2120588193
"Feb 5, 2019, 6:14:56 AM",Kudos,Activity,2124981725
"Feb 11, 2019, 7:32:19 AM",Kudos,Activity,2138377186
"Feb 16, 2019, 7:22:11 PM",Kudos,Activity,2151999998
"Feb 26, 2019, 5:13:34 AM",Kudos,Activity,2175857387
"Feb 27, 2019, 6:23:55 AM",Kudos,Activity,2178181016
"Feb 27, 2019, 6:24:09 AM",Kudos,Activity,2177571178
"Mar 6, 2019, 6:46:18 AM",Kudos,Activity,2192058068
"Mar 6, 2019, 6:46:19 AM",Kudos,Activity,2191897097
"Mar 6, 2019, 6:46:21 AM",Kudos,Activity,2191970310
"Mar 20, 2019, 7:03:48 AM",Kudos,Activity,2223575273
"Apr 8, 2019, 12:12:44 AM",Kudos,Activity,2267827532
"Apr 28, 2019, 8:29:47 AM",Kudos,Activity,2324275476
"May 11, 2019, 7:50:38 AM",Kudos,Activity,2357597265
"May 25, 2019, 1:30:08 AM",Kudos,Activity,2394454853
"May 30, 2019, 6:14:23 PM",Kudos,Activity,2408234018
"Jun 21, 2019, 9:10:18 AM",Kudos,Activity,2467494572
"Jun 21, 2019, 9:24:30 AM",Kudos,Activity,2450756709
"Jun 28, 2019, 7:58:04 PM",Kudos,Activity,2486226005
"Jun 30, 2019, 3:24:11 AM",Kudos,Activity,2491027568
"Jun 30, 2019, 3:24:12 AM",Kudos,Activity,2488659217
"Jun 30, 2019, 4:10:20 AM",Kudos,Activity,2491408524
"Jun 30, 2019, 4:10:39 AM",Kudos,Activity,2491406200
"Jul 14, 2019, 3:31:29 AM",Kudos,Activity,2530054436
"Jul 14, 2019, 3:31:37 AM",Kudos,Activity,2529895406
"Jul 17, 2019, 5:05:27 AM",Kudos,Activity,2535779999
"Aug 7, 2019, 5:37:31 AM",Kudos,Activity,2597568682
"Sep 7, 2019, 6:31:19 AM",Kudos,Activity,2686015309
"Sep 16, 2019, 2:10:00 AM",Kudos,Activity,2709850178
"Sep 16, 2019, 2:10:25 AM",Kudos,Activity,2709408918
"Sep 20, 2019, 8:40:33 AM",Kudos,Activity,2724089184
"Sep 22, 2019, 8:14:34 AM",Kudos,Activity,2729497515
"Sep 26, 2019, 8:02:13 AM",Kudos,Activity,2740637773
"Sep 27, 2019, 2:45:50 AM",Kudos,Activity,2742320030
"Oct 11, 2019, 8:49:19 AM",Kudos,Activity,2778865416
"Oct 19, 2019, 8:24:23 AM",Kudos,Activity,2799533514
"Nov 10, 2019, 5:43:11 AM",Kudos,Activity,2853808893
"Nov 13, 2019, 6:01:30 AM",Kudos,Activity,2861163912
"Nov 19, 2019, 6:35:45 AM",Kudos,Activity,2873391495
"Dec 5, 2019, 9:44:16 PM",Kudos,Activity,2912155775
"Dec 5, 2019, 9:44:26 PM",Kudos,Activity,2912155394
"Dec 7, 2019, 4:44:39 AM",Kudos,Activity,2916135693
"Dec 21, 2019, 3:50:21 AM",Kudos,Activity,2945513044
